a recuperação,recovery
latino-americano,latin american
o escândalo,scandal
acariciar,"to caress, pet, stroke"
a alternativa,alternative
o balé,ballet
a proporção,proportion
a pata,paw
animal,animal
o cadáver,corpse
o vice-presidente,vice president
o cristão,the christian
a crença,belief
o titular,"holder of office, Minister"
o veículo,vehicle
o grito,"cry, shout"
fazer som,to make a sound
a seleção,selection
vencer,to conquer or vanquish
cheio,full
seco,dry
o paciente,patient
a amostra,sample
quotar,to quote
anual,annual
assistir,"to attend (meeting, cinema, TV, game etc)"
belo,beautiful
o ruído,loud noise
o mecanismo,mechanism
ai,"sigh, groan"
cristão,christian
definitivo,definitive
o matrimônio,marriage
o lábio,lip
pendurar,to hang up (not phone)
durar,to last
a variedade,variety
nacional,national
a conferência,conference
o universo,universe
educativo,educational
duplo,double
cultivar,to cultivate; to grow (plants)
o pássaro,bird
a guarda,guard
a tensão,tension
favorecer,to favor
o arquiteto,architect
a riqueza,wealth
a honra,honor
a manifestação,"demonstration, display"
o acaso,chance
a dinastia,dynasty
a praia,the beach
o leitor,reader
o festival,festival
a galeria,gallery
imenso,immense
o inverno,winter
cedo,"early, soon"
o leite,milk
o doente,sick person
arrancar,"to tear away, force, pull"
o particular,private individual
sugerir,to suggest
o comentário,"comment, commentary"
o pescoço,neck
fabricar,"to manufacture, produce, make, build"
exato,exact
a disposição,"arrangement, disposition"
a dívida,debt
a onda,wave
diminuir,to decrease
o consumo,consumption
quinto,fifth
desfrutar,"to enjoy, appreciate, enjoy the fruits of life"
o aparelho,"apparatus, equipment"
revolucionário,revolutionary
a ave,bird (esp poultry)
devolver,"to return, give back"
o índio,Indian
significativo,significant
perfeito,perfect
o acesso,access
convocar,to convene or summon a meeting
o relato,"statement, explanation"
a lima,lime
a ausência,absence
o dano,damage
a tábua,"board (ironing, chopping etc)"
o Canadá,Canada
passear,to go for a walk
oitenta,eighty
a intensidade,intensity
o computador,computer
a virtude,virtue
o ofício,"office, profession, trade"
sólido,solid
a variação,variation
proclamar,to proclaim
ascender,to ascend
empreender,to undertake
o estabelecimento,establishment
a concepção,conception
colombiano,colombian
negociar,to negotiate
a missa,mass (religious)
habitar,to inhabit
esquerdo,left
a mancha,"spot, stain, mark,"
semelhante,similar
respirar,to breathe
o baile,"ball, dance"
o alcance,reach
o motorista,driver
decisivo,decisive
estuprar,to rape
a fabricação,manufacture
o historiador,historian
nativo,"originating in (plants, animals etc)"
a ocupação,occupation
a legislação,legislation
a convenção,convention
chileno,chilean
a noite,night
a primavera,spring (season)
a transmissão,transmission
a tribo,tribe
a meta,"the target, objective, goal but not a physical target."
o ferido,injured
o crítico,critic
o pacto,pact
sindical,related to a trade union
o gabinete,cabinet (politics)
o dever,duty
diplomático,diplomatic
absurdo,absurd
pacífico,peaceful
penal,penal
direito,right side
a aparição,appearance
muitas vezes,often
o posto,"job, position"
nuclear,nuclear
emitir,"to issue, emit"
a vantagem,advantage
o vinho,wine
contrário,contrary
o ciclo,cycle
a sensação,sensation or feeling
seu,his
beber,to drink
o cultivo,crop
a fotografia,"photography, photo"
legal,"legal, within the law"
interpretar,to interpret
dona,"mrs, madam"
a rainha,queen
o ombro,shoulder
experimentar,"to try out, test, try on"
posteriormente,"subsequently, later"
a vítima,victim
o galho,"branch, bough"
saltar,to jump over or onto
o compromisso,commitment
caracterizar,to characterize
principalmente,"principally, mainly"
a taxa,"rate, fee"
a moeda,"coin, currency"
mudar,"to change, move, shift"
específico,specific
variar,to vary
a composição,composition
respeitar,to respect
a pedra,stone
solicitar,to request (formally)
instalar,to install
católico,Catholic
urbano,urban
a intenção,intention
presidencial,presidential
a aplicação,application
inteiro,whole
o orçamento,"budget, quotation"
destinar,"to assign, earmark"
o debate,debate
intenso,intense
atravessar,"to cross, go through"
provavelmente,probably
comprometer,"to commit, reach agreement"
esgotar,"to drain, empty, use up"
o familiar,"relative, relation"
depositar,"to deposit, put or place in"
a mina,mine (mining)
a invasão,invasion
a legenda,"subtitle, inscription, caption"
o alívio,relief
a definição,definition
o elétron,electron
o físico,physicist
estimular,to stimulate
o bancário,banking
paquerar,"to flirt, chat up"
o primo,cousin
recomendar,to recommend
aparte,"aside from, apart from"
o fragmento,fragment
difundir,"to diffuse, spread"
desconhecer,not to know
o rascunho,"draft, rough copy"
o bloco,block
o milho,maize (corn US)
conversar,"to talk, chat, converse"
o menor,minor
a orelha,ear (outer)
o protagonista,protagonist
artificial,artificial
a tese,thesis
a exploração,"exploitation, exploration"
cheirar,to smell (like or of); to sniff
ferido,"injured, wounded"
espiritual,spiritual
secreto,secret
a monarquia,monarchy
o mistério,mystery
o neto,grandchild
o prestígio,prestige
possivelmente,possibly
a transformação,transformation
a tonelada,ton
o preso,"under arrest, caught, prisoner"
provir,to come from
o herói,hero
a instância,"entreaty, resort"
o líquido,liquid
a entrega,delivery
o trilho,rail as in railway
coletivo,collective
a madrugada,"night before dawn, middle of the night"
o esporte,sport
acostumar,to accustom
preciso,"precise, accurate"
a junta,"board, committee"
esconder,to hide
o tecido,"fabric, cloth"
comprovar,"to confirm, prove"
o meu,mine (my)
Miami,Miami
intervir,to intervene
o imperador,emperor
a paisagem,landscape
bater,"to beat, knock or pound"
completamente,completely
a Ásia,Asia
a escultura,sculpture
o crédito,credit
o disco,record (music etc)
cometer,to commit (a crime or sin)
a esquerda,left
a partícula,particle
assim mesmo,"anyway, nevertheless, even so"
