les llaminadures,the candy
el compte,the bill; the check (restaurant)
la poma,the apple
la pera,the pear
la llimona,the lemon
la síndria,the watermelon
el bolet,wild mushroom
la pruna,plum
vermell fosc,dark red
blau cel,light blue
violeta,purple
blau marí,dark blue
i,and
un amic,friend
Quant és això?,How much is this
No ho entenc,I don't understand
Què fas?,what are you doing
la invenció,invention
emparar,to protect
rajar,to pour
instar,to urge
la roba,clothes
calmar,to calm
segrestar,to kidnap
deshonrar,to disgrace; to dishonor
xiular,to whistle
la vida,life
irreal,unreal
lleument,slightly
gran,"old (person, large (object)"
l'habitació,room; bedroom
a mà esquerra,on the left-hand side
davant,in front
darrere,behind
entre,between; among
encara,still
ja,yet
ja no,no longer; not anymore
hi ha,there is
amb,with
a més,also
què?,what
qui?,who
quin?,which
quant?,how much
quants?,how many?
estar-se,to live (to reside; stay at)
trucar,to call
no hi fa res,don't worry; it doesn't matter
a quina hora?,at what time
l'autobús,the bus
el barri,the neighborhood
millor,better
cap a,towards
fer sol,to be sunny
la panxa,belly
el pit,chest
el front,forehead
la cuixa,thigh
l'ull,eye
la dent,tooth
l'esquerra,left
la dreta,the right
el vaixell,ship
el ganivet,knife
la forquilla,fork
la cullera,spoon
la tassa,cup
el bol,bowl
"la copa, el got",glass (drinking vessel)
uns ous,some eggs
la ceba,onion
el cogombre,cucumber
l'aranja,grapefruit
la llimona,lemon
la taronja,orange
uns gerdons,some raspberries
la patata,potato
els diners,the money
la policia,the police
el viatge,the trip; the journey
l'equipatge,the luggage
la maleta,the suitcase
l'aeroport,the airport
l'avió,the airplane
el tren,the train
el camí,the path
el camió,the truck
el cotxe,the car
la benzinera,the gas station
el vianant,the pedestrian
el semàfor,the stoplight
el bolígraf,the pen
el llapis,the pencil
l'adreça,the address
la ciutat,the city
aquí,here
allà,over there
prop,near
lluny,far
la lluna,the moon
el sol,the sun
l'ombra,the shadow
el cor,the heart
la banyera,the bathtub
suau,"soft, gentle"
amunt,"up, upwards"
sota,below
la tempesta,the storm
el llampec,the flash of lightning
els trons,the thunder
la boira,the fog
dirigir,to direct
tombar,to turn
seguir,to follow
continuar,to continue
travessar,to cross
aturar,to stop
el bosc,the forest
la cascada,the waterfall
la costa,the coast
el llac,the lake
el mar,the sea
la muntanya,the mountain
l'oceà,the ocean
el penya-segat,the cliff
la platja,the beach
el riu,the river
la tarda,the afternoon
la nit,the night
el matí,the morning
la vergonya,the shame; the embarrassment
la sort,the luck
la porta,the door
la feina,the work
la reunió,the meeting
el cafè,the coffee
la germana,the sister
el germà,the brother
l'esmorzar,the breakfast
el diari,the newspaper; the diary
la casa,the house
el dinar,the lunch
el sopar,the dinner
la tele,the TV
les dents,the teeth
els ulls,the eyes
el quadre,the painting
la mà,the hand
la roda,the wheel
la bicicleta,the bicycle
el dibuix,the drawing
el llit,the bed
el gat,the cat
el gos,the dog
l'ocell,the bird
les escales,the stairs
la joguina,the toy
la família,the family
l'avi,the grandfather
l'àvia,the grandmother
el pare,the father
la mare,the mother
la tia,the aunt
l'oncle,the uncle
la cosina,the cousin (female)
el cosí,the cousin (male)
el cunyat,the brother-in-law
la cunyada,the sister-in-law
el nebot,the nephew
la neboda,the niece
el marit,the husband
l'esposa,the wife
la núvia,the girlfriend; the fiancé
el nuvi,the boyfriend; the fiancé
el fill,the son
la filla,the daughter
el nét,the grandson
sec,dry
difícil,difficult
quadrat,square
les formes,shapes
a poc a poc,slowly; little by little
Per què?,why
On?,where
Empenyeu,push
Estireu,pull
Serveis,lavatories (in public places)
Com et dius?,what is your name
abordar,to tackle
dir-se,to be called
aparcar,to park
cada quant?,how often
companyia,company
d'aquí a,within
excepte,except
la funció,performance
l'horari,schedule; timetable
i tant,sure; no problem
per exemple,for example
tancar,to close
D'on ets?,where are you from
els afores,the outskirts
sota,under
enlloc,nowhere
la cadira,chair
prim,thin; lean
net,clean
brut,dirty
gruixut,thick; fat (object ie: file or folder)
tancat,closed
obert,open
buit,empty; bare; hollow
ple,full
la bassa,pool; pond
la suposició,assumption; guess
aparèixer,to appear
reduir,to reduce; to cut back
el desinterès,disinterest; lack of concern
el bebè,baby
la dona,woman
el ninot,doll
dibuixar,to draw
vergonyós,embarrased; shy
avorrir-se,to become bored
el bomber,fireman
el camioner,truck driver
el / la bibliotecària,librarian
l'aixeta,the faucet
la dutxa,the shower
el vàter,the toilet
el forn,the oven
el microones,the microwave
la nevera,the fridge
el radiador,the radiator
deixar,to leave
desar,to put away in a place
endreçar,to put in order
ficar,to insert
posar,to put
la fusta,the wood
la pell,the skin
el vidre,the glass (window)
la paret,the wall
el sostre,the ceiling
el terra,the ground
la barana,the railing
la moqueta,the carpet
la teulada,the roof
l'home,the man
la dona,the woman
l'amic; l'amiga,the friend
el jardí,the garden
algú,somebody; someone
res,anything; nothing
ningú,nobody; noone
tot,everything
tothom,everybody; everyone
pitjor,worse
major,bigger
menor,smaller
anar bé,to be fine; allright
la part,side; part
inclòs,included
a part,seperately
el garatge,garage
immediatament,immediately
llogar,to rent; to hire
tots dos,both
il•limitat,unlimited
entesos,ok; fine
la clau,key
abans (de),before
fora de,outside of
dins,into; inside
la finestra,window
l'ascensor,elevator
ambdós,both
l'entrada,entrance
agafar,to take/grab
conèixer,to know
caldre,to be necessary
creure,to believe
escriure,to write
enviar,to send
veure,"to see, to watch"
discutir,to discuss
necessitar,to need
plegar,to finish work
perdre,to lose
causar,to cause; to bring about
abaixar,to lower; to bring down
vigorós,vigorous; active; lively
aclarir,to explain; to make clear
borratxo,drunk
els prestatges,shelves
la paperera,trash can
la bossa,bag; purse
la catifa,carpet; rug
el gerro,vase
els coixins,pillows
damunt,above; beyond; over
per tot arreu,all around
la sang,the blood
l'estómac,the stomach
el braç,the arm
el colze,the elbow
el canell,the wrist
la mà,the hand
el dit,the finger
el polze,the thumb
la cama,the leg
el genoll,the knee
el turmell,the ankle
el peu,the foot
la salut,the health
els guants,the gloves
l'abric,the coat
la jaqueta,the jacket
la samarreta,the t-shirt
la corbata,the tie
uns calçotets,a pair of underpants
la faldilla,the skirt
el vestit,the dress (clothing)
la bossa,the handbag; the purse
l'anell,the ring
les calces,the underwear; the knickers
el mitjó,the sock
diumenge,sunday
la tardor,the autumn
l'hivern,the winter
la primavera,the spring
el berenar,the snack
gener,january
febrer,february
març,march
abril,april
maig,may
juny,june
juliol,july
agost,august
setembre,september
octubre,october
novembre,november
desembre,december
escoltar,to listen to
acabar,to finish
rentar,to wash
destorbar,to bother
cada dia,every day
sempre,always
de vegades,sometimes
després de ...,after ...
la selva,the jungle
la sorra,the sand
la vall,the valley
l'amenaça,the threat
la confessió,the confession
la presó,the prison
la sospita,the suspicion
el sospitós; la sospitosa,the suspect
el jutge; la jutgessa,the judge
l'edifici,the building
el gratacel,the skyscraper
el balcó,the balcony
el bany,the bath
la cuina,the kitchen
l'habitació,the bedroom
el pati,the yard
el calaix,the drawer
la butaca,the armchair
la catifa,the rug
la cortina,the curtain
la biblioteca,the library
el llum,the light
el mirall,the mirror
la taula,the table
l'aigüera,the sink
la néta,the granddaughter
el veí,the neighbor (male)
la veïna,the neighbor (female)
negre,black
blanc,white
gris,grey
marró,brown
groc,yellow
blau,blue
verd,green
vermell; roig (valencià),red
morat,purple
taronja,orange
rosa,pink
beix,beige
granat,maroon
platejat,silver (plated)
daurat,golden
ser; ésser,to be
soc,I am
ets,you are (singular)
és,he is; she is
som,we are
sou,you are (plural)
són,they are
la font,the fountain
l'estàtua,the statue
el sabó,the soap
el xampú,the shampoo
la tovallola,the towel
la pinta,the comb
el raspall de dents,the toothbrush
el cubell,the trashcan
l'escombra,the broom
el poble,the village
l'alcalde; l'alcaldessa,the mayor
el carrer,the street
l'avinguda,the avenue
l'església,the church
el cuiner; la cuinera,the chef
el cambrer; la cambrera,the waiter
l'escola,the school
el mercat,the market
la fleca,the bakery
el forner; la fornera,the baker
el teatre,the theatre
el cinema,the movie theater
el museu,the museum
el banc,the bank
la moneda,the coin
la piscina,the swimming pool
és clar!,of course!
tampoc,neither
ocupat,busy
Quina llàstima!,What a pity!
llevar-se,to get up
dormir,to sleep
normalment,normally
alguna vegada,sometimes
despertar-se,to wake up (oneself)
maquillar-se,to put on make up
aixecar-se de taula,to get up from the table; to get off the table
dutxar-se,to shower
vestir-se,to get dressed
anar a dormir,to go to bed
sortir amb amics,to go out with friends
netejar,to clean
el xai,the lamb; the sheep
la mongeta,the bean
estimar-se més,to prefer; to like more
aconsellar,to recommend; to advise
semblar,to seem
beure,to drink
abans de,before
mai,never
una estona,"a short time, a while"
de tant en tant,from time to time
sovint,frequentely
un cop,one time
el bomber; la bombera,the fireman; the firefighter
assecar,to dry
tallar,to cut
el formatge,the cheese
l'entrepà,the sandwich
l'ampolla,the bottle
la llauna,the tin can
l'arbre,the tree
voler,to want
escollir; triar,to choose
trigar,to take time
els cabells,hair
llisos,straight (hair)
arrissats,curly (hair)
ondulats,wavy (hair)
el barret,the hat
no gaire,not very; not much; not many
el bromista; la bromista,the jokester; the joker
divertit,funny
